"","the_geom","OBJECTID","Name","Stacked","AnnoLine1","AnnoLine2","AnnoLine3","AnnoAngle","Borough","Longitude","Latitude","LatLong"
"51","POINT (-73.97347087708452 40.59526001306597)",51,"Gravesend",1,"Gravesend",NA,NA,0,"Brooklyn",-73.9734708770845,40.595260013066,"-73.97347087708452, 40.59526001306597"
"52","POINT (-73.96509448785343 40.576825065666085)",52,"Brighton Beach",2,"Brighton","Beach",NA,0,"Brooklyn",-73.9650944878534,40.5768250656661,"-73.96509448785343, 40.576825065666085"
"53","POINT (-73.94318640482987 40.58689012678388)",53,"Sheepshead Bay",2,"Sheepshead","Bay",NA,0,"Brooklyn",-73.9431864048299,40.5868901267839,"-73.94318640482987, 40.58689012678388"
"54","POINT (-73.95743840559946 40.61443251335102)",54,"Manhattan Terrace",2,"Manhattan","Terrace",NA,0,"Brooklyn",-73.9574384055995,40.614432513351,"-73.95743840559946, 40.61443251335102"
"55","POINT (-73.95840106533912 40.63632589026681)",55,"Flatbush",1,"Flatbush",NA,NA,0,"Brooklyn",-73.9584010653391,40.6363258902668,"-73.95840106533912, 40.63632589026681"
"56","POINT (-73.9432911907359 40.67082917695298)",56,"Crown Heights",2,"Crown","Heights",NA,0,"Brooklyn",-73.9432911907359,40.670829176953,"-73.9432911907359, 40.67082917695298"
"57","POINT (-73.93610256185843 40.64171776668965)",57,"East Flatbush",1,"East Flatbush",NA,NA,0,"Brooklyn",-73.9361025618584,40.6417177666897,"-73.93610256185843, 40.64171776668965"
"58","POINT (-73.98042110559481 40.64238195800357)",58,"Kensington",1,"Kensington",NA,NA,0,"Brooklyn",-73.9804211055948,40.6423819580036,"-73.98042110559481, 40.64238195800357"
"59","POINT (-73.98007340430179 40.65694583575108)",59,"Windsor Terrace",2,"Windsor","Terrace",NA,0,"Brooklyn",-73.9800734043018,40.6569458357511,"-73.98007340430179, 40.65694583575108"
"60","POINT (-73.96485924262697 40.67682226225477)",60,"Prospect Heights",2,"Prospect","Heights",NA,0,"Brooklyn",-73.964859242627,40.6768222622548,"-73.96485924262697, 40.67682226225477"
"61","POINT (-73.91023536176615 40.66394994339758)",61,"Brownsville",1,"Brownsville",NA,NA,0,"Brooklyn",-73.9102353617662,40.6639499433976,"-73.91023536176615, 40.66394994339758"
"62","POINT (-73.95811529220936 40.70714439344255)",62,"Williamsburg",1,"Williamsburg",NA,NA,0,"Brooklyn",-73.9581152922094,40.7071443934425,"-73.95811529220936, 40.70714439344255"
"63","POINT (-73.92525797487053 40.69811611017905)",63,"Bushwick",1,"Bushwick",NA,NA,0,"Brooklyn",-73.9252579748705,40.6981161101791,"-73.92525797487053, 40.69811611017905"
"64","POINT (-73.94178488690304 40.6872316077205)",64,"Bedford Stuyvesant",1,"Bedford Stuyvesant",NA,NA,0,"Brooklyn",-73.941784886903,40.6872316077205,"-73.94178488690304, 40.6872316077205"
"65","POINT (-73.99378225496432 40.69586372272413)",65,"Brooklyn Heights",2,"Brooklyn","Heights",NA,0,"Brooklyn",-73.9937822549643,40.6958637227241,"-73.99378225496432, 40.69586372272413"
"66","POINT (-73.9985613921847 40.68791972248561)",66,"Cobble Hill",2,"Cobble","Hill",NA,0,"Brooklyn",-73.9985613921847,40.6879197224856,"-73.9985613921847, 40.68791972248561"
"67","POINT (-74.00037274122076 40.68213188564184)",67,"Carroll Gardens",2,"Carroll","Gardens",NA,0,"Brooklyn",-74.0003727412208,40.6821318856418,"-74.00037274122076, 40.68213188564184"
"68","POINT (-74.01275897473568 40.67625323025092)",68,"Red Hook",2,"Red","Hook",NA,0,"Brooklyn",-74.0127589747357,40.6762532302509,"-74.01275897473568, 40.67625323025092"
"69","POINT (-73.99444087145346 40.6739311431872)",69,"Gowanus",1,"Gowanus",NA,NA,0,"Brooklyn",-73.9944408714535,40.6739311431872,"-73.99444087145346, 40.6739311431872"
"70","POINT (-73.97290574369099 40.688527260189815)",70,"Fort Greene",2,"Fort","Greene",NA,0,"Brooklyn",-73.972905743691,40.6885272601898,"-73.97290574369099, 40.688527260189815"
"71","POINT (-73.97705030183931 40.672320522682014)",71,"Park Slope",2,"Park","Slope",NA,0,"Brooklyn",-73.9770503018393,40.672320522682,"-73.97705030183931, 40.672320522682014"
"72","POINT (-73.87583132262635 40.6846357939163)",72,"Cypress Hills",2,"Cypress","Hills",NA,0,"Brooklyn",-73.8758313226264,40.6846357939163,"-73.87583132262635, 40.6846357939163"
"73","POINT (-73.88069863917373 40.66992570084708)",73,"East New York",1,"East New York",NA,NA,0,"Brooklyn",-73.8806986391737,40.6699257008471,"-73.88069863917373, 40.66992570084708"
"74","POINT (-73.87936970045882 40.64758905230878)",74,"Starrett City",2,"Starrett","City",NA,0,"Brooklyn",-73.8793697004588,40.6475890523088,"-73.87936970045882, 40.64758905230878"
"75","POINT (-73.90209269778973 40.63556432797432)",75,"Canarsie",1,"Canarsie",NA,NA,0,"Brooklyn",-73.9020926977897,40.6355643279743,"-73.90209269778973, 40.63556432797432"
"76","POINT (-73.92911302644681 40.6304460437575)",76,"Flatlands",1,"Flatlands",NA,NA,0,"Brooklyn",-73.9291130264468,40.6304460437575,"-73.92911302644681, 40.6304460437575"
"77","POINT (-73.90818571777432 40.60633642168567)",77,"Mill Island",2,"Mill","Island",NA,0,"Brooklyn",-73.9081857177743,40.6063364216857,"-73.90818571777432, 40.60633642168567"
"78","POINT (-73.94353722891894 40.57791350308661)",78,"Manhattan Beach",2,"Manhattan","Beach",NA,0,"Brooklyn",-73.9435372289189,40.5779135030866,"-73.94353722891894, 40.57791350308661"
"79","POINT (-73.98868295821644 40.57429256471605)",79,"Coney Island",1,"Coney Island",NA,NA,0,"Brooklyn",-73.9886829582164,40.5742925647161,"-73.98868295821644, 40.57429256471605"
"80","POINT (-73.99875221443526 40.599518702822415)",80,"Bath Beach",2,"Bath","Beach",NA,0,"Brooklyn",-73.9987522144353,40.5995187028224,"-73.99875221443526, 40.599518702822415"
"81","POINT (-73.99049823044818 40.63313051275805)",81,"Borough Park",2,"Borough","Park",NA,0,"Brooklyn",-73.9904982304482,40.6331305127581,"-73.99049823044818, 40.63313051275805"
"82","POINT (-74.01931375636029 40.61921945772268)",82,"Dyker Heights",2,"Dyker","Heights",NA,0,"Brooklyn",-74.0193137563603,40.6192194577227,"-74.01931375636029, 40.61921945772268"
"83","POINT (-73.93010170691203 40.59084843390208)",83,"Gerritsen Beach",2,"Gerritsen","Beach",NA,0,"Brooklyn",-73.930101706912,40.5908484339021,"-73.93010170691203, 40.59084843390208"
"84","POINT (-73.93134404108504 40.60974777989464)",84,"Marine Park",1,"Marine Park",NA,NA,0,"Brooklyn",-73.931344041085,40.6097477798946,"-73.93134404108504, 40.60974777989464"
"85","POINT (-73.96784306216374 40.69322942188155)",85,"Clinton Hill",2,"Clinton","Hill",NA,0,"Brooklyn",-73.9678430621637,40.6932294218815,"-73.96784306216374, 40.69322942188155"
"86","POINT (-74.00787311200247 40.576375378902284)",86,"Sea Gate",2,"Sea","Gate",NA,0,"Brooklyn",-74.0078731120025,40.5763753789023,"-74.00787311200247, 40.576375378902284"
"87","POINT (-73.98346337431106 40.69084402109806)",87,"Downtown",2,"Down-","town",NA,0,"Brooklyn",-73.9834633743111,40.6908440210981,"-73.98346337431106, 40.69084402109806"
"88","POINT (-73.98357724689187 40.687241380657376)",88,"Boerum Hill",2,"Boerum","Hill",NA,0,"Brooklyn",-73.9835772468919,40.6872413806574,"-73.98357724689187, 40.687241380657376"
"89","POINT (-73.9548986707772 40.65842001746986)",89,"Prospect Lefferts Gardens",3,"Prospect","Lefferts","Gardens",0,"Brooklyn",-73.9548986707772,40.6584200174699,"-73.9548986707772, 40.65842001746986"
"90","POINT (-73.91306831787404 40.6784025547954)",90,"Ocean Hill",2,"Ocean","Hill",NA,0,"Brooklyn",-73.913068317874,40.6784025547954,"-73.91306831787404, 40.6784025547954"
"91","POINT (-73.86797598081343 40.678569957274824)",91,"City Line",2,"City","Line",NA,0,"Brooklyn",-73.8679759808134,40.6785699572748,"-73.86797598081343, 40.678569957274824"
"92","POINT (-73.89855633630324 40.615149550453125)",92,"Bergen Beach",2,"Bergen","Beach",NA,0,"Brooklyn",-73.8985563363032,40.6151495504531,"-73.89855633630324, 40.615149550453125"
"93","POINT (-73.95759523489846 40.62559589869847)",93,"Midwood",1,"Midwood",NA,NA,0,"Brooklyn",-73.9575952348985,40.6255958986985,"-73.95759523489846, 40.62559589869847"
"94","POINT (-73.96261316716055 40.64700860318523)",94,"Prospect Park South",2,"Prospect","Park South",NA,0,"Brooklyn",-73.9626131671606,40.6470086031852,"-73.96261316716055, 40.64700860318523"
"95","POINT (-73.91607483951331 40.623845244784235)",95,"Georgetown",1,"Georgetown",NA,NA,0,"Brooklyn",-73.9160748395133,40.6238452447842,"-73.91607483951331, 40.623845244784235"
"96","POINT (-73.86998779106547 40.65713927658277)",96,"Spring Creek",2,"Spring","Creek",NA,0,"Brooklyn",-73.8699877910655,40.6571392765828,"-73.86998779106547, 40.65713927658277"
"97","POINT (-73.93885815269203 40.70849241041552)",97,"East Williamsburg",2,"East","Williamsburg",NA,0,"Brooklyn",-73.938858152692,40.7084924104155,"-73.93885815269203, 40.70849241041552"
"98","POINT (-73.95880857587589 40.714822906532056)",98,"North Side",1,"North Side",NA,NA,0,"Brooklyn",-73.9588085758759,40.7148229065321,"-73.95880857587589, 40.714822906532056"
"99","POINT (-73.95800095153338 40.710861472650684)",99,"South Side",1,"South Side",NA,NA,0,"Brooklyn",-73.9580009515334,40.7108614726507,"-73.95800095153338, 40.710861472650684"
"100","POINT (-73.97164435527614 40.698790872180545)",100,"Navy Yard",2,"Navy","Yard",NA,0,"Brooklyn",-73.9716443552761,40.6987908721805,"-73.97164435527614, 40.698790872180545"
"101","POINT (-73.96836678035548 40.61305976667946)",101,"Ocean Parkway",2,"Ocean","Parkway",NA,0,"Brooklyn",-73.9683667803555,40.6130597666795,"-73.96836678035548, 40.61305976667946"
"102","POINT (-74.0319791453799 40.6147681269423)",102,"Fort Hamilton",2,"Fort","Hamilton",NA,0,"Brooklyn",-74.0319791453799,40.6147681269423,"-74.0319791453799, 40.6147681269423"
"103","POINT (-73.99427936255985 40.715618422314364)",103,"Chinatown",1,"Chinatown",NA,NA,0,"Manhattan",-73.9942793625599,40.7156184223144,"-73.99427936255985, 40.715618422314364"
"104","POINT (-73.93690027985242 40.85190252555309)",104,"Washington Heights",2,"Washington","Heights",NA,0,"Manhattan",-73.9369002798524,40.8519025255531,"-73.93690027985242, 40.85190252555309"
"105","POINT (-73.92121042203905 40.86768396449919)",105,"Inwood",1,"Inwood",NA,NA,0,"Manhattan",-73.9212104220391,40.8676839644992,"-73.92121042203905, 40.86768396449919"
"106","POINT (-73.94968791883373 40.82360428481197)",106,"Hamilton Heights",2,"Hamilton","Heights",NA,0,"Manhattan",-73.9496879188337,40.823604284812,"-73.94968791883373, 40.82360428481197"
"107","POINT (-73.95738539351888 40.81693442949784)",107,"Manhattanville",2,"Manhattanville",NA,NA,0,"Manhattan",-73.9573853935189,40.8169344294978,"-73.95738539351888, 40.81693442949784"
"108","POINT (-73.94321112603912 40.81597606742418)",108,"Central Harlem",2,"Central","Harlem",NA,0,"Manhattan",-73.9432111260391,40.8159760674242,"-73.94321112603912, 40.81597606742418"
"109","POINT (-73.94418223148531 40.79224946663037)",109,"East Harlem",2,"East","Harlem",NA,0,"Manhattan",-73.9441822314853,40.7922494666304,"-73.94418223148531, 40.79224946663037"
"110","POINT (-73.96050763135007 40.77563857330185)",110,"Upper East Side",3,"Upper","East","Side",0,"Manhattan",-73.9605076313501,40.7756385733018,"-73.96050763135007, 40.77563857330185"
"111","POINT (-73.94711784471833 40.77592984988492)",111,"Yorkville",2,"York-","ville",NA,0,"Manhattan",-73.9471178447183,40.7759298498849,"-73.94711784471833, 40.77592984988492"
"112","POINT (-73.95885968813766 40.76811265828737)",112,"Lenox Hill",2,"Lenox","Hill",NA,0,"Manhattan",-73.9588596881377,40.7681126582874,"-73.95885968813766, 40.76811265828737"
"113","POINT (-73.9494705736962 40.762403730702246)",113,"Roosevelt Island",1,"Roosevelt Island",NA,NA,56,"Manhattan",-73.9494705736962,40.7624037307022,"-73.9494705736962, 40.762403730702246"
"114","POINT (-73.9770592363061 40.7876579985349)",114,"Upper West Side",3,"Upper","West","Side",0,"Manhattan",-73.9770592363061,40.7876579985349,"-73.9770592363061, 40.7876579985349"
"115","POINT (-73.9853377700127 40.773528889421705)",115,"Lincoln Square",2,"Lincoln","Square",NA,0,"Manhattan",-73.9853377700127,40.7735288894217,"-73.9853377700127, 40.773528889421705"
"116","POINT (-73.99640768221386 40.758333686906404)",116,"Clinton",1,"Clinton",NA,NA,0,"Manhattan",-73.9964076822139,40.7583336869064,"-73.99640768221386, 40.758333686906404"
"117","POINT (-73.98166882730311 40.75469110270627)",117,"Midtown",1,"Midtown",NA,NA,0,"Manhattan",-73.9816688273031,40.7546911027063,"-73.98166882730311, 40.75469110270627"
"118","POINT (-73.97833207924134 40.74830307725222)",118,"Murray Hill",2,"Murray","Hill",NA,0,"Manhattan",-73.9783320792413,40.7483030772522,"-73.97833207924134, 40.74830307725222"
"119","POINT (-74.0031163347282 40.74403470674802)",119,"Chelsea",1,"Chelsea",NA,NA,0,"Manhattan",-74.0031163347282,40.744034706748,"-74.0031163347282, 40.74403470674802"
"120","POINT (-73.99991402945909 40.72693288536132)",120,"Greenwich Village",2,"Greenwich","Village",NA,0,"Manhattan",-73.9999140294591,40.7269328853613,"-73.99991402945909, 40.72693288536132"
"121","POINT (-73.98222616506425 40.72784677727029)",121,"East Village",2,"East","Village",NA,0,"Manhattan",-73.9822261650642,40.7278467772703,"-73.98222616506425, 40.72784677727029"
"122","POINT (-73.98089031999298 40.71780674892769)",122,"Lower East Side",3,"Lower","East","Side",0,"Manhattan",-73.980890319993,40.7178067489277,"-73.98089031999298, 40.71780674892769"
"123","POINT (-74.01068328559094 40.72152196744325)",123,"Tribeca",1,"Tribeca",NA,NA,0,"Manhattan",-74.0106832855909,40.7215219674433,"-74.01068328559094, 40.72152196744325"
"124","POINT (-73.9973046720808 40.71932379395911)",124,"Little Italy",2,"Little","Italy",NA,0,"Manhattan",-73.9973046720808,40.7193237939591,"-73.9973046720808, 40.71932379395911"
"125","POINT (-74.00065666959766 40.72218384131798)",125,"Soho",1,"Soho",NA,NA,0,"Manhattan",-74.0006566695977,40.722183841318,"-74.00065666959766, 40.72218384131798"
"126","POINT (-74.00617998126819 40.734433935724375)",126,"West Village",2,"West","Village",NA,0,"Manhattan",-74.0061799812682,40.7344339357244,"-74.00617998126819, 40.734433935724375"
"127","POINT (-73.96428617740662 40.7973070417029)",127,"Manhattan Valley",2,"Manhattan","Valley",NA,0,"Manhattan",-73.9642861774066,40.7973070417029,"-73.96428617740662, 40.7973070417029"
"128","POINT (-73.96389627905339 40.80799973816586)",128,"Morningside Heights",2,"Morningside","Heights",NA,0,"Manhattan",-73.9638962790534,40.8079997381659,"-73.96389627905339, 40.80799973816586"
"129","POINT (-73.98137594833548 40.737209832715045)",129,"Gramercy",1,"Gramercy",NA,NA,0,"Manhattan",-73.9813759483355,40.737209832715,"-73.98137594833548, 40.737209832715045"
"130","POINT (-74.01686930508625 40.71193198394569)",130,"Battery Park City",3,"Battery","Park","City",0,"Manhattan",-74.0168693050862,40.7119319839457,"-74.01686930508625, 40.71193198394569"
"131","POINT (-74.01066544521277 40.70710710727052)",131,"Financial District",2,"Financial","District",NA,0,"Manhattan",-74.0106654452128,40.7071071072705,"-74.01066544521277, 40.70710710727052"
"132","POINT (-73.91565374304241 40.768508593354966)",132,"Astoria",1,"Astoria",NA,NA,0,"Queens",-73.9156537430424,40.768508593355,"-73.91565374304241, 40.768508593354966"
"133","POINT (-73.90184166838291 40.746349088602265)",133,"Woodside",1,"Woodside",NA,NA,0,"Queens",-73.9018416683829,40.7463490886023,"-73.90184166838291, 40.746349088602265"
"134","POINT (-73.88282109164372 40.751981380073715)",134,"Jackson Heights",2,"Jackson","Heights",NA,0,"Queens",-73.8828210916437,40.7519813800737,"-73.88282109164372, 40.751981380073715"
"135","POINT (-73.88165622288396 40.744048505122066)",135,"Elmhurst",1,"Elmhurst",NA,NA,0,"Queens",-73.881656222884,40.7440485051221,"-73.88165622288396, 40.744048505122066"
"136","POINT (-73.83813764600289 40.6542252773849)",136,"Howard Beach",2,"Howard","Beach",NA,0,"Queens",-73.8381376460029,40.6542252773849,"-73.83813764600289, 40.6542252773849"
"137","POINT (-73.85682497345266 40.7423817501567)",137,"South Corona",2,"South","Corona",NA,0,"Queens",-73.8568249734527,40.7423817501567,"-73.85682497345266, 40.7423817501567"
"138","POINT (-73.8444750078899 40.725263782165065)",138,"Forest Hills",2,"Forest","Hills",NA,0,"Queens",-73.8444750078899,40.7252637821651,"-73.8444750078899, 40.725263782165065"
"139","POINT (-73.8298190582571 40.705179035414844)",139,"Kew Gardens",2,"Kew","Gardens",NA,0,"Queens",-73.8298190582571,40.7051790354148,"-73.8298190582571, 40.705179035414844"
"140","POINT (-73.83183321446894 40.69794731471767)",140,"Richmond Hill",2,"Richmond","Hill",NA,0,"Queens",-73.8318332144689,40.6979473147177,"-73.83183321446894, 40.69794731471767"
"141","POINT (-73.82936758711861 40.76116362081876)",141,"Downtown Flushing",2,"Downtown","Flushing",NA,0,"Queens",-73.8293675871186,40.7611636208188,"-73.82936758711861, 40.76116362081876"
"142","POINT (-73.93920223915512 40.75021734610532)",142,"Long Island City",3,"Long","Island","City",0,"Queens",-73.9392022391551,40.7502173461053,"-73.93920223915512, 40.75021734610532"
"143","POINT (-73.92691617561584 40.74017628351928)",143,"Sunnyside",1,"Sunnyside",NA,NA,0,"Queens",-73.9269161756158,40.7401762835193,"-73.92691617561584, 40.74017628351928"
"144","POINT (-73.86704147658779 40.764073238830946)",144,"East Elmhurst",2,"East","Elmhurst",NA,0,"Queens",-73.8670414765878,40.7640732388309,"-73.86704147658779, 40.764073238830946"
"145","POINT (-73.89621713626867 40.72542737409365)",145,"Maspeth",1,"Maspeth",NA,NA,0,"Queens",-73.8962171362687,40.7254273740936,"-73.89621713626867, 40.72542737409365"
